feature_pair,group,fold,rows,positive_rows,negative_rows,false_negative,false_positive,false_negative_rate,false_positive_rate
BPHIGH4 × GENHLTH,1: Yes | 7: Don’t know/Not Sure,3,83,20,63,5,23,0.25,0.36507936507936506
BPHIGH4 × GENHLTH,1: Yes | 9: Refused,1,46,11,35,6,12,0.5454545454545454,0.34285714285714286
BPHIGH4 × GENHLTH,1: Yes | 9: Refused,2,36,8,28,2,9,0.25,0.32142857142857145
BPHIGH4 × GENHLTH,1: Yes | 9: Refused,3,37,5,32,2,13,0.4,0.40625
BPHIGH4 × GENHLTH,"2: Yes, but female told only during pregnancy | 1: Excellent",1,113,3,110,3,0,1.0,0.0
BPHIGH4 × GENHLTH,"2: Yes, but female told only during pregnancy | 1: Excellent",2,95,1,94,1,0,1.0,0.0
BPHIGH4 × GENHLTH,"2: Yes, but female told only during pregnancy | 1: Excellent",3,114,5,109,5,0,1.0,0.0
BPHIGH4 × GENHLTH,"2: Yes, but female told only during pregnancy | 2: Very good",1,254,1,253,1,0,1.0,0.0
BPHIGH4 × GENHLTH,"2: Yes, but female told only during pregnancy | 2: Very good",2,254,3,251,3,0,1.0,0.0
BPHIGH4 × GENHLTH,"2: Yes, but female told only during pregnancy | 2: Very good",3,207,3,204,3,0,1.0,0.0
BPHIGH4 × GENHLTH,"2: Yes, but female told only during pregnancy | 3: Good",1,206,4,202,3,2,0.75,0.009900990099009901
BPHIGH4 × GENHLTH,"2: Yes, but female told only during pregnancy | 3: Good",2,225,6,219,5,0,0.8333333333333334,0.0
BPHIGH4 × GENHLTH,"2: Yes, but female told only during pregnancy | 3: Good",3,220,9,211,7,2,0.7777777777777778,0.009478672985781991
BPHIGH4 × GENHLTH,"2: Yes, but female told only during pregnancy | 4: Fair",1,71,8,63,4,2,0.5,0.031746031746031744
BPHIGH4 × GENHLTH,"2: Yes, but female told only during pregnancy | 4: Fair",2,69,4,65,4,1,1.0,0.015384615384615385
BPHIGH4 × GENHLTH,"2: Yes, but female told only during pregnancy | 4: Fair",3,65,1,64,1,4,1.0,0.0625
BPHIGH4 × GENHLTH,3: No | 1: Excellent,1,12257,135,12122,129,4,0.9555555555555556,0.00032997855139415937
BPHIGH4 × GENHLTH,3: No | 1: Excellent,2,12013,122,11891,113,5,0.9262295081967213,0.00042048608191068876
BPHIGH4 × GENHLTH,3: No | 1: Excellent,3,11981,130,11851,124,6,0.9538461538461539,0.0005062863893342334
BPHIGH4 × GENHLTH,3: No | 2: Very good,1,18491,406,18085,372,107,0.916256157635468,0.005916505391208184
BPHIGH4 × GENHLTH,3: No | 2: Very good,2,18759,438,18321,397,73,0.906392694063927,0.00398449866273675
BPHIGH4 × GENHLTH,3: No | 2: Very good,3,18756,400,18356,359,86,0.8975,0.00468511658313358
BPHIGH4 × GENHLTH,3: No | 3: Good,1,13954,624,13330,443,407,0.7099358974358975,0.030532633158289572
BPHIGH4 × GENHLTH,3: No | 3: Good,2,13894,608,13286,456,360,0.75,0.027096191479753125
BPHIGH4 × GENHLTH,3: No | 3: Good,3,14036,642,13394,484,286,0.7538940809968847,0.021352844557264446
BPHIGH4 × GENHLTH,3: No | 4: Fair,1,4371,475,3896,255,437,0.5368421052631579,0.11216632443531828
BPHIGH4 × GENHLTH,3: No | 4: Fair,2,4298,458,3840,236,398,0.5152838427947598,0.10364583333333334
BPHIGH4 × GENHLTH,3: No | 4: Fair,3,4344,447,3897,218,474,0.48769574944071586,0.1216320246343341
BPHIGH4 × GENHLTH,3: No | 5: Poor,1,1365,242,1123,82,250,0.33884297520661155,0.2226179875333927
BPHIGH4 × GENHLTH,3: No | 5: Poor,2,1445,260,1185,90,295,0.34615384615384615,0.2489451476793249
BPHIGH4 × GENHLTH,3: No | 5: Poor,3,1425,277,1148,92,301,0.33212996389891697,0.2621951219512195
BPHIGH4 × GENHLTH,3: No | 7: Don’t know/Not Sure,1,62,4,58,1,4,0.25,0.06896551724137931
BPHIGH4 × GENHLTH,3: No | 7: Don’t know/Not Sure,2,72,7,65,5,4,0.7142857142857143,0.06153846153846154
BPHIGH4 × GENHLTH,3: No | 7: Don’t know/Not Sure,3,69,5,64,3,11,0.6,0.171875
BPHIGH4 × GENHLTH,3: No | 9: Refused,1,35,0,35,0,2,,0.05714285714285714
BPHIGH4 × GENHLTH,3: No | 9: Refused,2,42,4,38,3,1,0.75,0.02631578947368421
BPHIGH4 × GENHLTH,3: No | 9: Refused,3,48,5,43,3,1,0.6,0.023255813953488372
BPHIGH4 × GENHLTH,4: Told borderline high or pre-hypertensive | 1: Excellent,1,125,6,119,4,0,0.6666666666666666,0.0
BPHIGH4 × GENHLTH,4: Told borderline high or pre-hypertensive | 1: Excellent,2,131,3,128,3,0,1.0,0.0
BPHIGH4 × GENHLTH,4: Told borderline high or pre-hypertensive | 1: Excellent,3,106,7,99,6,0,0.8571428571428571,0.0
BPHIGH4 × GENHLTH,4: Told borderline high or pre-hypertensive | 2: Very good,1,337,9,328,7,2,0.7777777777777778,0.006097560975609756
BPHIGH4 × GENHLTH,4: Told borderline high or pre-hypertensive | 2: Very good,2,345,12,333,11,5,0.9166666666666666,0.015015015015015015
BPHIGH4 × GENHLTH,4: Told borderline high or pre-hypertensive | 2: Very good,3,335,13,322,12,7,0.9230769230769231,0.021739130434782608
BPHIGH4 × GENHLTH,4: Told borderline high or pre-hypertensive | 3: Good,1,291,17,274,13,15,0.7647058823529411,0.05474452554744526
BPHIGH4 × GENHLTH,4: Told borderline high or pre-hypertensive | 3: Good,2,274,16,258,13,14,0.8125,0.05426356589147287
BPHIGH4 × GENHLTH,4: Told borderline high or pre-hypertensive | 3: Good,3,273,20,253,13,15,0.65,0.05928853754940711
BPHIGH4 × GENHLTH,4: Told borderline high or pre-hypertensive | 4: Fair,1,102,19,83,9,15,0.47368421052631576,0.18072289156626506
BPHIGH4 × GENHLTH,4: Told borderline high or pre-hypertensive | 4: Fair,2,96,10,86,6,14,0.6,0.16279069767441862
BPHIGH4 × GENHLTH,4: Told borderline high or pre-hypertensive | 4: Fair,3,96,15,81,6,13,0.4,0.16049382716049382
BPHIGH4 × GENHLTH,7: Don't know/Not Sure | 2: Very good,1,42,5,37,5,1,1.0,0.02702702702702703
BPHIGH4 × GENHLTH,7: Don't know/Not Sure | 2: Very good,2,51,2,49,2,1,1.0,0.02040816326530612
BPHIGH4 × GENHLTH,7: Don't know/Not Sure | 2: Very good,3,34,5,29,3,1,0.6,0.034482758620689655
BPHIGH4 × GENHLTH,7: Don't know/Not Sure | 3: Good,1,60,7,53,3,5,0.42857142857142855,0.09433962264150944
BPHIGH4 × GENHLTH,7: Don't know/Not Sure | 3: Good,2,65,5,60,4,2,0.8,0.03333333333333333
BPHIGH4 × GENHLTH,7: Don't know/Not Sure | 3: Good,3,49,6,43,2,7,0.3333333333333333,0.16279069767441862
BPHIGH4 × GENHLTH,7: Don't know/Not Sure | 4: Fair,1,34,3,31,0,8,0.0,0.25806451612903225
BPHIGH4 × GENHLTH,7: Don't know/Not Sure | 4: Fair,2,37,12,25,5,7,0.4166666666666667,0.28
