feature,group,rows,positive_rows,negative_rows,boosting_false_negatives,logistic_false_negatives,boosting_false_positives,logistic_false_positives,both_false_negatives,both_false_positives,boosting_only_false_negatives,boosting_only_false_positives,boosting_far_false_negatives,boosting_far_false_positives,boosting_false_negative_rate,logistic_false_negative_rate,boosting_false_positive_rate,logistic_false_positive_rate
_AGE80 × BPHIGH4,"18-44 | 2: Yes, but female told only during pregnancy",1231,15,1216,14,14,0,0,14,0,0,0,14,0,0.9333333333333333,0.9333333333333333,0.0,0.0
_AGE80 × BPHIGH4,18-44 | 3: No,58367,398,57969,384,394,32,9,383,7,1,25,365,13,0.964824120603015,0.9899497487437185,0.0005520191826665976,0.0001552553951249806
_AGE80 × BPHIGH4,18-44 | 4: Told borderline high or pre-hypertensive,460,11,449,10,11,0,0,10,0,0,0,8,0,0.9090909090909091,1.0,0.0,0.0
_AGE80 × BPHIGH4,18-44 | 7: Don't know/Not Sure,121,2,119,1,2,0,0,1,0,0,0,1,0,0.5,1.0,0.0,0.0
_AGE80 × BPHIGH4,45-54 | 1: Yes,13874,1379,12495,732,786,1132,1058,686,854,46,278,436,484,0.5308194343727338,0.5699782451051486,0.09059623849539816,0.08467386954781912
_AGE80 × BPHIGH4,"45-54 | 2: Yes, but female told only during pregnancy",267,12,255,11,11,2,2,11,1,0,1,9,1,0.9166666666666666,0.9166666666666666,0.00784313725490196,0.00784313725490196
_AGE80 × BPHIGH4,45-54 | 3: No,28117,621,27496,524,565,161,101,517,69,7,92,432,59,0.8438003220611916,0.9098228663446055,0.005855397148676171,0.003673261565318592
_AGE80 × BPHIGH4,45-54 | 4: Told borderline high or pre-hypertensive,466,20,446,18,19,7,1,18,1,0,6,11,3,0.9,0.95,0.01569506726457399,0.002242152466367713
_AGE80 × BPHIGH4,55-64 | 1: Yes,26928,3690,23238,1663,1674,3450,3677,1484,2921,179,529,808,1588,0.45067750677506774,0.45365853658536587,0.14846372321198037,0.1582322058696962
_AGE80 × BPHIGH4,"55-64 | 2: Yes, but female told only during pregnancy",214,10,204,4,5,6,7,4,5,0,1,3,3,0.4,0.5,0.029411764705882353,0.03431372549019608
_AGE80 × BPHIGH4,55-64 | 3: No,30807,1267,29540,988,1014,533,531,952,376,36,157,728,183,0.7797947908445146,0.8003157063930545,0.018043331076506432,0.017975626269465132
_AGE80 × BPHIGH4,55-64 | 4: Told borderline high or pre-hypertensive,693,31,662,22,26,20,14,21,13,1,7,18,9,0.7096774193548387,0.8387096774193549,0.030211480362537766,0.021148036253776436
_AGE80 × BPHIGH4,65+ | 1: Yes,54715,11663,43052,3629,3830,13287,13437,3161,11353,468,1934,1172,6392,0.3111549344079568,0.3283889222327017,0.3086267769209328,0.3121109356127474
